Date,Open,High,Low,Close,Adj Close,Volume
2022-04-01,9.860000,9.990000,9.141000,9.141000,8.572426,553800
2022-05-01,9.220000,9.460000,8.380000,9.440000,8.852827,17839900
2022-06-01,9.320000,9.400000,8.530000,8.850000,8.299526,2208000
2022-07-01,8.855000,8.970000,8.220000,8.970000,8.412062,2457600
2022-08-01,8.960000,9.200000,8.690000,8.750000,8.205746,2726700
2022-09-01,8.725000,8.850000,8.480000,8.570000,8.036942,2482900
2022-10-01,8.566000,8.660000,8.270000,8.620000,8.083832,1325400
2022-11-01,8.590000,8.810000,8.450000,8.660000,8.121344,2449000
2022-12-01,8.560000,8.740000,8.360000,8.410000,7.886894,1926300
2023-01-01,8.420000,8.560000,8.330000,8.480000,8.054627,2026000
2023-02-01,8.570000,8.630000,8.330000,8.375000,7.954895,1931800
2023-03-01,8.320000,8.480000,8.155000,8.420000,7.997637,2195500
2023-04-01,8.430000,8.520000,8.330000,8.480000,8.054627,1308400
2023-05-01,8.484000,8.560000,8.100000,8.470000,8.045130,1429400
2023-06-01,8.440000,8.910000,8.440000,8.889000,8.443111,1741800
2023-07-01,8.872000,9.175000,8.760000,9.120000,8.662524,1366700
2023-08-01,9.100000,9.160000,7.900000,8.940000,8.491552,1201800
2023-09-01,8.870000,9.010000,8.580000,8.660000,8.225598,1001900
2023-10-01,8.620000,8.810000,8.440000,8.530000,8.102119,1203700
2023-11-01,8.565000,9.090000,8.520000,9.090000,8.634029,2978300
2023-12-01,9.061000,9.310000,8.750000,8.895000,8.448811,580000
2024-01-01,8.820000,9.240000,8.741000,9.020000,9.020000,707300
2024-02-01,9.070000,9.490000,9.040000,9.450000,9.450000,425900
2024-03-01,9.380000,9.820000,9.380000,9.720000,9.720000,672400
2024-04-01,9.701000,9.750000,9.260000,9.370000,9.370000,429800
2024-04-23,9.360000,9.399900,9.360000,9.370000,9.370000,46074
